	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Citharichthys platophrys	shortand/ordeep	20.60000038	saltwater	demersal	10	60	dioecism	external	nonguarders
Citharichthys sordidus	fusiform/normal	41	saltwater	demersal	0	549	dioecism	external	nonguarders
Citharichthys spilopterus	shortand/ordeep	21	saltwater/brack/fresh	demersal	0	75	dioecism	external	nonguarders
Citharichthys stampflii	shortand/ordeep	16	saltwater/brack/fresh	demersal	0	50	dioecism	external	nonguarders
Citharichthys xanthostigma	shortand/ordeep	25	saltwater	demersal	2	201	dioecism	external	nonguarders
Citharoides macrolepidotus	fusiform/normal	29	saltwater	demersal	121	271	NA	NA	NA
Citharoides macrolepis	fusiform/normal	25	saltwater	bathydemersal	182	200	NA	NA	NA
Citharus linguatula	fusiform/normal	39.70000076	saltwater	demersal	NA	300	NA	NA	NA
Clarias batrachus	elongated	47	brack/fresh	demersal	1	NA	dioecism	external	guarders
Clarkichthys bilineatus	eel-like	6.199999809	saltwater	reef-associated	0	8	dioecism	external	NA
Cleidopus gloriamaris	shortand/ordeep	22	saltwater	reef-associated	6	200	NA	NA	NA
Clepticus brasiliensis	fusiform/normal	23.29999924	saltwater	demersal	5	70	dioecism	external	NA
Clepticus parrae	fusiform/normal	30	saltwater	reef-associated	8	100	protogyny	external	NA
Clinitrachus argentatus	elongated	10	saltwater	demersal	NA	NA	NA	NA	NA
Clinus heterodon	fusiform/normal	13	saltwater	demersal	NA	NA	NA	NA	NA
Clinus superciliosus	fusiform/normal	30	saltwater	demersal	NA	NA	NA	NA	NA
Clupea harengus	fusiform/normal	45	saltwater/brack	benthopelagic	0	364	dioecism	external	nonguarders
Clupea pallasii	fusiform/normal	46	saltwater/brack/fresh	pelagic-neritic	0	475	dioecism	external	nonguarders
Clupisoma garua	elongated	60.90000153	brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Cnidoglanis macrocephalus	elongated	91	saltwater/brack	demersal	1	30	dioecism	internal(oviduct)	guarders
Coccorella atlantica	elongated	18.5	saltwater	bathypelagic	50	1000	NA	NA	NA
Cociella crocodilus	elongated	50	saltwater/brack	reef-associated	0	300	protandry	external	nonguarders
Cociella heemstrai	Elongated	NA	saltwater	demersal	NA	280	dioecism	external	nonguarders
Cociella punctata	elongated	35	saltwater	reef-associated	10	300	dioecism	external	nonguarders
Cocotropus altipinnis	Elongated	3.150000095	saltwater	demersal	NA	NA	NA	NA	NA
Cocotropus dermacanthus	shortand/ordeep	5.079999924	saltwater	demersal	10	30	NA	NA	NA
Cocotropus microps	fusiform/normal	3.900000095	saltwater	benthopelagic	0	14	NA	NA	NA
Cocotropus monacanthus	fusiform/normal	13.10000038	saltwater	demersal	37	48	NA	NA	NA
Cocotropus richeri	Elongated	2.140000105	saltwater	demersal	65	116	NA	NA	NA
Cocotropus roseomaculatus	Elongated	2.920000076	saltwater	demersal	NA	NA	NA	NA	NA
Coelorinchus acutirostris	Elongated	22.29999924	saltwater	bathydemersal	291	320	NA	NA	NA
Coelorinchus anatirostris	elongated	43	saltwater	bathydemersal	300	550	NA	NA	NA
Coelorinchus argentatus	elongated	37	saltwater	benthopelagic	85	582	NA	NA	NA
Coelorinchus canus	elongated	27.5	saltwater	benthopelagic	120	460	NA	NA	NA
Coelorinchus celaenostomus	eel-like	82.80000305	saltwater	bathydemersal	606	975	NA	NA	NA
Coelorinchus charius	eel-like	37	saltwater	bathydemersal	420	691	NA	NA	NA
Coelorinchus cingulatus	eel-like	NA	saltwater	bathydemersal	NA	421	NA	NA	NA
Coelorinchus cylindricus	eel-like	19	saltwater	bathydemersal	550	920	NA	NA	NA
Coelorinchus flabellispinis	eel-like	47.5	saltwater	benthopelagic	NA	NA	NA	NA	NA
Coelorinchus gaesorhynchus	elongated	25	saltwater	bathydemersal	NA	290	NA	NA	NA
Coelorinchus innotabilis	elongated	32	saltwater	bathydemersal	554	1463	NA	NA	NA
Coelorinchus jordani	Elongated	26	saltwater	benthopelagic	NA	NA	NA	NA	NA
Coelorinchus karrerae	elongated	35	saltwater	bathydemersal	263	1150	NA	NA	NA
Coelorinchus kermadecus	Elongated	62	saltwater	benthopelagic	80	1401	NA	NA	NA
Coelorinchus melanobranchus	elongated	21	saltwater	bathydemersal	405	530	NA	NA	NA
Coelorinchus mirus	eel-like	35	saltwater	demersal	130	400	NA	NA	NA
Coelorinchus mycterismus	elongated	49	saltwater	bathydemersal	833	1150	NA	NA	NA
Coelorinchus parallelus	elongated	48	saltwater	bathydemersal	630	990	NA	NA	NA
Coelorinchus platorhynchus	Elongated	NA	saltwater	bathydemersal	871	1034	NA	NA	NA
Coelorinchus semaphoreus	elongated	34	saltwater	bathydemersal	420	445	NA	NA	NA
Coelorinchus sereti	elongated	45	saltwater	bathydemersal	412	825	NA	NA	NA
Coelorinchus shcherbachevi	elongated	NA	saltwater	bathydemersal	790	835	NA	NA	NA
Coelorinchus spathulatus	elongated	27.5	saltwater	bathydemersal	670	710	NA	NA	NA
Coelorinchus supernasutus	elongated	63.5	saltwater	bathydemersal	606	750	NA	NA	NA
Coelorinchus trachycarus	eel-like	50.79999924	saltwater	bathydemersal	622	1350	NA	NA	NA
Coelorinchus vityazae	elongated	32	saltwater	bathypelagic	NA	920	NA	NA	NA
Coilia dussumieri	elongated	20	saltwater/brack/fresh	pelagic-neritic	0	50	dioecism	external	nonguarders
Coilia neglecta	elongated	17	saltwater/brack	pelagic-neritic	0	50	dioecism	external	nonguarders
Coilia ramcarati	elongated	25	saltwater/brack	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Coilia reynaldi	elongated	15	saltwater/brack/fresh	pelagic-neritic	0	50	dioecism	external	nonguarders
Coloconger saldanhai	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coloconger scholesi	eel-like	51	saltwater	bathydemersal	412	970	NA	NA	NA
Cololabis adoceta	fusiform/normal	5.099999905	saltwater	pelagic-oceanic	0	1	NA	NA	NA
Cololabis saira	elongated	40	saltwater	pelagic-oceanic	0	230	dioecism	external	nonguarders
Colurodontis paxmani	shortand/ordeep	12	saltwater	demersal	NA	NA	NA	NA	NA
Conger cinereus	eel-like	140	saltwater/brack	reef-associated	1	80	NA	NA	NA
Conger conger	eel-like	300	saltwater	demersal	0	1171	dioecism	external	nonguarders
Conger monganius	NA	NA	NA	NA	NA	NA	NA	NA	NA
Conger orbignianus	eel-like	112	saltwater	demersal	10	NA	dioecism	external	nonguarders
Conger triporiceps	eel-like	100	saltwater	reef-associated	3	55	NA	NA	NA
Conger verreauxi	eel-like	200	saltwater	reef-associated	NA	45	NA	NA	NA
Conger wilsoni	elongated	150	saltwater/brack	reef-associated	NA	30	NA	NA	NA
Congiopodus peruvianus	fusiform/normal	27.14999962	saltwater	demersal	NA	NA	NA	NA	NA
Congresox talabon	eel-like	80	saltwater/brack	demersal	0	100	NA	NA	NA
Congresox talabonoides	eel-like	250	saltwater/brack	bathydemersal	800	875	NA	NA	NA
Congriscus maldivensis	eel-like	35.20000076	saltwater	bathydemersal	354	820	NA	NA	NA
Congrogadus malayanus	eel-like	7.099999905	saltwater	demersal	NA	NA	NA	NA	NA
Congrogadus spinifer	elongated	13	saltwater	demersal	NA	NA	NA	NA	NA
Congrogadus subducens	elongated	45	saltwater/brack	reef-associated	0	10	NA	NA	NA
Congrogadus winterbottomi	eel-like	11.89999962	saltwater	demersal	0	1	NA	NA	NA
Conidens samoensis	elongated	NA	saltwater	demersal	0	8	NA	NA	NA
Conodon nobilis	fusiform/normal	31.20000076	saltwater	demersal	1	100	dioecism	external	nonguarders
Conodon serrifer	fusiform/normal	34	saltwater	demersal	10	60	dioecism	external	nonguarders
Cookeolus japonicus	fusiform/normal	69	saltwater	reef-associated	40	400	NA	NA	NA
Coptodon guineensis	fusiform/normal	30	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	guarders
Coptodon rendalli	fusiform/normal	45	brack/fresh	benthopelagic	3	8	dioecism	external	guarders
Coptodon zillii	fusiform/normal	40	brack/fresh	benthopelagic	1	7	dioecism	external	guarders
Coradion altivelis	shortand/ordeep	18	saltwater	reef-associated	3	30	dioecism	external	nonguarders
Coradion chrysozonus	shortand/ordeep	15	saltwater	reef-associated	3	60	dioecism	external	nonguarders
Coralliozetus angelicus	elongated	3.5	saltwater	reef-associated	1	4	dioecism	external	guarders
Coralliozetus boehlkei	elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Coralliozetus cardonae	elongated	8.5	saltwater	reef-associated	NA	NA	NA	NA	NA
Coralliozetus clausus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coralliozetus springeri	elongated	2.5	saltwater	reef-associated	5	15	NA	NA	NA
Corcyrogobius liechtensteini	elongated	2.5	saltwater	demersal	NA	NA	NA	NA	NA
Coregonus albula	fusiform/normal	48	saltwater/brack/fresh	benthopelagic	30	NA	dioecism	external	nonguarders
Coregonus lavaretus	fusiform/normal	73	brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Coregonus oxyrinchus	fusiform/normal	50	brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Coregonus peled	fusiform/normal	50	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Corica soborna	fusiform/normal	5.300000191	saltwater/brack/fresh	pelagic-neritic	NA	NA	NA	NA	NA
Coris auricularis	fusiform/normal	40	saltwater	reef-associated	1	45	dioecism	external	NA
Coris aurilineata	fusiform/normal	14	saltwater	reef-associated	3	10	dioecism	external	NA
Coris aygula	fusiform/normal	120	saltwater	reef-associated	2	30	dioecism	external	NA
Coris batuensis	fusiform/normal	17	saltwater	reef-associated	2	30	dioecism	external	NA
Coris bulbifrons	fusiform/normal	60	saltwater	reef-associated	NA	NA	dioecism	external	NA
Coris caudimacula	fusiform/normal	20	saltwater	reef-associated	1	57	dioecism	external	NA
Coris cuvieri	fusiform/normal	38	saltwater	reef-associated	2	50	dioecism	external	NA
Coris dorsomacula	fusiform/normal	38	saltwater	reef-associated	2	40	dioecism	external	NA
Coris formosa	fusiform/normal	60	saltwater	reef-associated	NA	NA	dioecism	external	NA
Coris gaimard	fusiform/normal	40	saltwater	reef-associated	1	50	dioecism	external	NA
Coris julis	fusiform/normal	30	saltwater	reef-associated	0	120	protogyny	external	nonguarders
Coris picta	elongated	25	saltwater	reef-associated	NA	NA	dioecism	external	NA
Coris pictoides	fusiform/normal	15	saltwater	reef-associated	9	55	dioecism	external	NA
Coris sandeyeri	fusiform/normal	25	saltwater	reef-associated	NA	60	dioecism	external	NA
Coris variegata	fusiform/normal	20	saltwater	reef-associated	NA	10	dioecism	external	NA
Corniger spinosus	shortand/ordeep	20	saltwater	demersal	45	275	dioecism	external	nonguarders
Corvula batabana	shortand/ordeep	25	saltwater	reef-associated	3	10	NA	NA	NA
Corvula macrops	fusiform/normal	25	saltwater	benthopelagic	NA	NA	NA	NA	NA
Coryogalops anomolus	elongated	5.800000191	saltwater	demersal	1	16	NA	NA	NA
Coryphaena equiselis	fusiform/normal	145.6999969	saltwater	pelagic-oceanic	0	400	dioecism	external	nonguarders
Coryphaena hippurus	elongated	210	saltwater/brack	pelagic-neritic	0	85	dioecism	external	nonguarders
Coryphaenoides anguliceps	elongated	50	saltwater	bathydemersal	720	2400	NA	NA	NA
Coryphaenoides armatus	elongated	102	saltwater	bathypelagic	282	5180	NA	NA	NA
Coryphaenoides boops	eel-like	42.5	saltwater	bathydemersal	605	1000	NA	NA	NA
Coryphaenoides bucephalus	eel-like	59	saltwater	bathypelagic	1480	2880	NA	NA	NA
Coryphaenoides bulbiceps	eel-like	81	saltwater	bathypelagic	1700	3200	NA	NA	NA
Coryphaenoides carapinus	elongated	45	saltwater	bathydemersal	384	5610	NA	NA	NA
Coryphaenoides delsolari	elongated	51	saltwater	bathydemersal	300	1650	NA	NA	NA
Coryphaenoides dossenus	Elongated	NA	saltwater	bathydemersal	NA	910	NA	NA	NA
Coryphaenoides ferrieri	elongated	60	saltwater	benthopelagic	2525	3931	NA	NA	NA
Coryphaenoides filicauda	elongated	40	saltwater	bathypelagic	2500	5000	NA	NA	NA
Coryphaenoides lecointei	elongated	60	saltwater	bathydemersal	2154	3931	NA	NA	NA
Coryphaenoides macrolophus	Elongated	11	saltwater	bathypelagic	522	1080	NA	NA	NA
Coryphaenoides mcmillani	Elongated	34	saltwater	bathypelagic	817	1400	NA	NA	NA
Coryphaenoides mediterraneus	elongated	73	saltwater	bathypelagic	1000	4262	NA	NA	NA
Coryphaenoides serrulatus	elongated	45	saltwater	bathydemersal	540	2070	NA	NA	NA
Coryphaenoides striaturus	elongated	54	saltwater	bathypelagic	823	1738	NA	NA	NA
Coryphoblennius galerita	elongated	7.599999905	saltwater	demersal	NA	NA	dioecism	external	guarders
Coryphopterus alloides	elongated	4	saltwater	reef-associated	NA	NA	protogyny	external	guarders
Coryphopterus dicrus	elongated	5	saltwater	reef-associated	3	20	protogyny	external	guarders
Coryphopterus eidolon	fusiform/normal	6	saltwater	reef-associated	6	30	protogyny	external	guarders
Coryphopterus glaucofraenum	elongated	8	saltwater	reef-associated	2	45	protogyny	external	guarders
Coryphopterus hyalinus	elongated	2.5	saltwater/brack	reef-associated	8	52	protogyny	external	guarders
Coryphopterus kuna	fusiform/normal	1.710000038	saltwater	benthopelagic	10	30	dioecism	NA	guarders
Coryphopterus lipernes	fusiform/normal	3	saltwater	reef-associated	0	13	protogyny	external	guarders
Coryphopterus personatus	fusiform/normal	4	saltwater	reef-associated	3	46	protogyny	external	guarders
Coryphopterus thrix	elongated	5	saltwater	reef-associated	10	20	protogyny	external	guarders
Coryphopterus tortugae	elongated	NA	saltwater	reef-associated	NA	NA	NA	NA	NA
Coryphopterus urospilus	elongated	6.5	saltwater	reef-associated	5	40	protogyny	external	guarders
Coryphopterus venezuelae	elongated	7.5	saltwater	demersal	0	NA	NA	NA	NA
Corythoichthys amplexus	eel-like	10	saltwater	reef-associated	0	31	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys benedetto	eel-like	6.760000229	saltwater	reef-associated	5	20	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys conspicillatus	eel-like	NA	saltwater	reef-associated	0	10	NA	NA	NA
Corythoichthys flavofasciatus	eel-like	12	saltwater	reef-associated	NA	25	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys haematopterus	eel-like	19.79999924	saltwater	reef-associated	0	21	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys intestinalis	eel-like	16	saltwater	reef-associated	20	68	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys nigripectus	eel-like	11	saltwater	reef-associated	5	30	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys ocellatus	eel-like	10.30000019	saltwater	reef-associated	1	12	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys paxtoni	eel-like	13.39999962	saltwater	reef-associated	NA	18	dioecism	inbroodpouchorsimilarstructure	bearers
Corythoichthys schultzi	eel-like	16	saltwater	reef-associated	2	30	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus albirostris	eel-like	20	saltwater	reef-associated	0	50	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus arctus	eel-like	12	saltwater	reef-associated	NA	10	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus banneri	eel-like	5.800000191	saltwater	reef-associated	2	30	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus brachycephalus	eel-like	10	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus elucens	eel-like	15	saltwater	reef-associated	1	345	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus hildebrandi	eel-like	10	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Cosmocampus howensis	eel-like	9.5	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Cottoperca gobio	fusiform/normal	80	saltwater	demersal	NA	NA	NA	NA	NA
Cottus gobio	fusiform/normal	18	brack/fresh	demersal	2	2	dioecism	external	guarders
Craterocephalus capreoli	elongated	8.5	saltwater/brack	demersal	NA	NA	NA	NA	NA
Craterocephalus mugiloides	elongated	7	saltwater/brack	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Craterocephalus pauciradiatus	Elongated	NA	brack	pelagic	NA	NA	NA	NA	NA
Cratinus agassizii	fusiform/normal	60	saltwater	demersal	1	12	NA	NA	NA
Crenidens crenidens	shortand/ordeep	30	saltwater	demersal	NA	NA	NA	NA	NA
Crenimugil buchanani	fusiform/normal	100	saltwater/brack/fresh	pelagic-neritic	0	10	dioecism	external	nonguarders
Crenimugil crenilabis	fusiform/normal	60	saltwater/brack	reef-associated	0	20	dioecism	external	nonguarders
Crenimugil heterocheilos	fusiform/normal	50	saltwater/brack/fresh	demersal	0	3	dioecism	external	nonguarders
Crenimugil seheli	fusiform/normal	60	saltwater/brack/fresh	reef-associated	0	3	dioecism	external	nonguarders
Cristacirrhitus punctatus	fusiform/normal	17	saltwater	demersal	NA	NA	NA	NA	NA
Cristiceps aurantiacus	elongated	22	saltwater	benthopelagic	0	30	NA	NA	NA
Cristiceps australis	elongated	18	saltwater/brack	benthopelagic	NA	30	NA	NA	NA
Croilia mossambica	elongated	6	saltwater/brack/fresh	demersal	1	16	dioecism	external	guarders
Cromileptes altivelis	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crossorhombus azureus	shortand/ordeep	18	saltwater	demersal	13	60	dioecism	external	nonguarders
Crossorhombus howensis	shortand/ordeep	13	saltwater	demersal	NA	8	dioecism	external	nonguarders
Crossorhombus valderostratus	shortand/ordeep	14	saltwater	demersal	35	146	dioecism	external	nonguarders
Crossosalarias macrospilus	elongated	10	saltwater	reef-associated	1	25	dioecism	external	guarders
Cruriraja atlantis	other	NA	saltwater	bathydemersal	512	778	dioecism	internal(oviduct)	nonguarders
Cruriraja rugosa	other	NA	saltwater	bathydemersal	366	1007	dioecism	internal(oviduct)	nonguarders
Cryptocentroides arabicus	elongated	13.5	saltwater	demersal	0	1	NA	NA	NA
Cryptocentroides insignis	elongated	8.600000381	saltwater/brack	reef-associated	2	10	NA	NA	NA
Cryptocentrus caeruleomaculatus	elongated	10	saltwater	reef-associated	0	30	NA	NA	NA
Cryptocentrus cebuanus	elongated	10	saltwater	demersal	2	10	NA	NA	NA
Cryptocentrus cryptocentrus	fusiform/normal	13	saltwater	reef-associated	NA	NA	NA	NA	NA
Cryptocentrus fasciatus	elongated	14	saltwater	reef-associated	5	20	NA	NA	NA
Cryptocentrus leptocephalus	elongated	12	saltwater	reef-associated	0	18	NA	NA	NA
Cryptocentrus leucostictus	elongated	7.5	saltwater	reef-associated	2	25	NA	NA	NA
Cryptocentrus liolepis	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cryptocentrus lutheri	elongated	11	saltwater	reef-associated	NA	NA	NA	NA	NA
Cryptocentrus malindiensis	elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Cryptocentrus melanopus	elongated	NA	saltwater	reef-associated	NA	NA	NA	NA	NA
Cryptocentrus octofasciatus	fusiform/normal	4.5	saltwater	demersal	0	4	NA	NA	NA
